YR	MON	DAY	PREC	Z500Z	500zonal	Z500merid
2012	1	9	0.00	0.56	-0.68	1.47
2012	1	10	0.00	-0.26	-1.20	1.85
2012	1	11	0.00	-1.06	-1.29	-0.89
2012	1	12	0.00	-1.79	-0.76	-1.42
2012	1	13	0.75	-1.83	0.01	-0.31
2012	1	14	17.48	-3.13	-1.98	-0.19
2012	1	15	3.38	-2.54	0.71	-1.33
2012	1	16	0.00	-2.00	1.83	-0.27
2012	1	17	0.00	-1.18	1.92	0.52
2012	1	18	0.00	-0.87	0.19	0.21
2012	1	19	0.00	-0.52	1.14	0.47
2012	1	20	0.00	0.05	0.27	0.39
2012	1	21	0.00	-0.31	0.19	0.67
2012	1	22	0.00	0.35	0.44	1.15
2012	1	23	0.00	0.63	0.19	0.98
2012	1	24	0.00	0.35	-0.42	1.36
2012	1	25	0.00	1.01	0.71	1.26
2012	1	26	0.00	1.41	-0.07	0.93
2012	1	27	0.00	1.10	-0.60	1.31
2012	1	28	0.00	0.54	-0.77	1.04
2012	1	29	0.00	0.16	-0.42	1.59
2012	1	30	0.00	0.05	-0.68	1.05
2012	1	31	0.00	-0.05	-0.68	-1.47
2012	2	1	0.00	-0.56	-1.11	-1.78
2012	2	2	0.00	-1.01	-1.02	-1.55
2012	2	3	0.00	-1.69	-1.28	-1.26
2012	2	4	5.64	-2.42	0.44	-0.23
2012	2	5	5.64	-1.18	2.70	-0.85
2012	2	6	7.90	-0.07	-1.02	-1.07
2012	2	7	0.00	-0.75	-2.15	-1.33
2012	2	8	13.53	-1.03	0.10	-0.88
2012	2	9	6.77	0.49	2.18	-0.69
2012	2	10	0.00	0.09	-1.20	-1.64
2012	2	11	27.07	-0.14	1.14	-0.85
2012	2	12	0.00	0.49	0.27	-1.33
2012	2	13	0.00	0.61	0.36	-1.84
2012	2	14	0.00	0.89	0.01	-1.81
2012	2	15	0.00	0.87	-0.08	-2.63
2012	2	16	0.00	0.68	-0.59	-2.96
2012	2	17	0.00	0.44	0.01	-0.23
2012	2	18	0.00	0.05	-1.20	1.38
2012	2	19	0.00	-0.02	-0.16	1.78
2012	2	20	0.00	0.59	0.44	1.73
2012	2	21	0.00	0.89	0.44	1.57
2012	2	22	0.00	0.56	-0.68	1.69
2012	2	23	0.00	-0.17	-1.11	2.34
2012	2	24	0.00	0.37	1.75	-1.24
2012	2	25	0.00	0.44	-0.16	-0.78
2012	2	26	0.56	0.00	-1.55	-1.71
2012	2	27	1.13	-1.41	-0.33	-0.18
2012	2	28	6.77	-0.26	4.60	0.18
2012	3	1	0.00	0.54	0.19	-2.21
2012	3	2	0.00	0.30	-0.85	-1.36
2012	3	3	0.00	0.59	0.44	-0.58
2012	3	4	0.00	0.16	-0.85	1.81
2012	3	5	0.00	0.26	0.71	-0.05
2012	3	6	0.00	0.47	0.01	2.29
2012	3	7	0.00	0.16	-0.94	2.38
2012	3	8	0.00	-0.12	0.01	-0.64
2012	3	9	3.95	-0.38	-0.25	1.01
2012	3	10	13.53	-0.19	0.79	-0.10
2012	3	11	1.69	1.15	1.49	0.22
2012	3	12	0.00	1.27	-0.16	1.03
2012	3	13	0.00	0.87	-0.60	1.14
2012	3	14	0.00	0.94	-0.07	-0.10
2012	3	15	0.00	0.82	-0.25	0.93
2012	3	16	0.00	0.28	-0.59	1.66
2012	3	17	0.00	-0.09	-0.68	-0.23
2012	3	18	0.00	-0.05	0.10	-1.02
2012	3	19	1.69	0.52	1.40	-0.42
2012	3	20	0.00	0.61	0.10	0.85
2012	3	21	0.00	0.28	-0.59	1.25
2012	3	22	0.00	0.77	0.44	1.21
2012	3	23	0.00	0.89	-0.51	2.47
2012	3	24	0.00	0.30	-0.85	2.29
2012	3	25	0.00	-0.05	-1.29	1.05
2012	3	26	0.00	0.26	0.36	1.16
2012	3	27	6.20	0.07	0.01	-0.23
2012	3	28	3.38	0.28	0.02	-0.16
2012	3	29	0.00	-0.17	-1.20	1.40
2012	3	30	0.00	-0.59	-0.50	1.18
2012	3	31	6.77	-1.10	-0.07	0.27
